"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11521",-0.5,"Native 1",38,"disamb","rp","disamb rp",6,0,328,328,-0.5,-0.5,328
"11523",-0.5,"Native 1",39,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5,NA
"11525",-0.5,"Native 1",26,"disamb","rp","disamb rp",6,0,586,586,-0.5,-0.5,586
"11527",-0.5,"Native 1",34,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11529",-0.5,"Native 1",46,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11531",-0.5,"Native 1",29,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11533",-0.5,"Native 1",36,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11535",-0.5,"Native 1",30,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11537",-0.5,"Native 1",40,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11539",-0.5,"Native 1",33,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11541",-0.5,"Native 1",43,"disamb","rp","disamb rp",7,0,708,708,0.5,0.5,708
"11543",-0.5,"Native 1",28,"disamb","rp","disamb rp",8,0,375,375,-0.5,0.5,375
"11545",-0.5,"Native 1",31,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5,NA
"11547",-0.5,"Native 1",45,"disamb","rp","disamb rp",5,0,298,298,0.5,-0.5,298
"11549",-0.5,"Native 1",25,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11551",-0.5,"Native 1",41,"disamb","rp","disamb rp",5,0,252,252,0.5,-0.5,252
"11553",-0.5,"Native 1",42,"disamb","rp","disamb rp",6,0,853,853,-0.5,-0.5,853
"11555",-0.5,"Native 1",37,"disamb","rp","disamb rp",5,0,1039,1039,0.5,-0.5,1039
"11557",-0.5,"Native 1",32,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11559",-0.5,"Native 1",48,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11561",-0.5,"Native 1",47,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5,NA
"11563",-0.5,"Native 1",44,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11565",-0.5,"Native 1",27,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5,NA
"11567",-0.5,"Native 1",35,"disamb","rp","disamb rp",7,0,201,201,0.5,0.5,201
"11569",-0.5,"Native 2",46,"disamb","rp","disamb rp",7,0,159,159,0.5,0.5,159
"11571",-0.5,"Native 2",25,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11573",-0.5,"Native 2",39,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11575",-0.5,"Native 2",38,"disamb","rp","disamb rp",7,0,1007,1007,0.5,0.5,1007
"11577",-0.5,"Native 2",30,"disamb","rp","disamb rp",7,0,576,576,0.5,0.5,576
"11579",-0.5,"Native 2",27,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11581",-0.5,"Native 2",29,"disamb","rp","disamb rp",6,0,675,675,-0.5,-0.5,675
"11583",-0.5,"Native 2",33,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11585",-0.5,"Native 2",32,"disamb","rp","disamb rp",5,0,662,662,0.5,-0.5,662
"11587",-0.5,"Native 2",43,"disamb","rp","disamb rp",8,0,653,653,-0.5,0.5,653
"11589",-0.5,"Native 2",45,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5,NA
"11591",-0.5,"Native 2",48,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11593",-0.5,"Native 2",47,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11595",-0.5,"Native 2",31,"disamb","rp","disamb rp",8,0,407,407,-0.5,0.5,407
"11597",-0.5,"Native 2",26,"disamb","rp","disamb rp",7,0,183,183,0.5,0.5,183
"11599",-0.5,"Native 2",42,"disamb","rp","disamb rp",7,0,176,176,0.5,0.5,176
"11601",-0.5,"Native 2",36,"disamb","rp","disamb rp",5,0,194,194,0.5,-0.5,194
"11603",-0.5,"Native 2",35,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5,NA
"11605",-0.5,"Native 2",44,"disamb","rp","disamb rp",5,0,514,514,0.5,-0.5,514
"11607",-0.5,"Native 2",41,"disamb","rp","disamb rp",6,0,315,315,-0.5,-0.5,315
"11609",-0.5,"Native 2",37,"disamb","rp","disamb rp",6,0,209,209,-0.5,-0.5,209
"11611",-0.5,"Native 2",40,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11613",-0.5,"Native 2",28,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5,NA
"11615",-0.5,"Native 2",34,"disamb","rp","disamb rp",7,0,301,301,0.5,0.5,301
"11618",-0.5,"Native 3",34,"disamb","rp","disamb rp",8,0,563,563,-0.5,0.5,563
"11620",-0.5,"Native 3",30,"disamb","rp","disamb rp",8,0,562,562,-0.5,0.5,562
"11622",-0.5,"Native 3",38,"disamb","rp","disamb rp",8,0,1617,1617,-0.5,0.5,1617
"11624",-0.5,"Native 3",43,"disamb","rp","disamb rp",5,0,1042,1042,0.5,-0.5,1042
"11626",-0.5,"Native 3",47,"disamb","rp","disamb rp",5,0,1174,1174,0.5,-0.5,1174
"11628",-0.5,"Native 3",25,"disamb","rp","disamb rp",7,0,327,327,0.5,0.5,327
